PATIENT_ID,UBE2T,PTTG1,PGR,MKI67,MIA,MAPT,KRT17,KRT14,KIF2C,ESR1,CCNE1,CENPF,CEP55,FGFR4,MMP11,SFRP1,TMEM45B,TYMS,ERBB2,BCL2,CCNB1,CDC20,NAT1,RRM2,UBE2C,ACTR3B,ANLN,BAG1,BIRC5,BLVRA,CDC6,CDH3,CXXC5,EGFR,EXO1,FOXA1,FOXC1,GPR160,GRB7,KRT5,MDM2,MELK,MLPH,MYBL2,MYC,PHGDH,SLC39A6,NUF2,ORC6,NDC80
TCGA-GM-A3XN,200.4968,261.8879,4795.039,755.8552,35.3229,4217.5302,3144.0738,3171.3982,170.3336,2245.9191,44.0028,1073.4564,165.3655,32.2924,12575.5855,2732.0795,122.7821,402.0405,5982.2569,990.4187,562.8105,259.4038,4845.6352,290.6317,243.4351,278.5664,299.8581,1386.3201,106.1675,1903.1228,104.6842,1005.6778,1513.8396,251.2349,80.9084,5815.8268,449.6097,416.6075,537.2605,4753.3712,1906.3165,109.6522,6602.555,307.665,3608.5877,749.4677,3445.3513,163.9461,37.9702,120.2981
TCGA-GM-A4E0,40.3867,77.1019,1423.0138,262.1463,50.7477,868.6809,2488.554,2641.2891,54.3384,4494.6708,22.0291,395.0552,71.2274,14.6861,2040.629,2713.9852,122.6287,194.0764,5052.007,1352.5868,118.2228,71.2274,2610.4484,121.1601,110.8798,87.3821,95.4594,1614.924,34.6811,1572.1435,58.01,310.6103,593.3171,184.3101,11.0146,2924.7302,575.6938,646.9212,408.2727,2674.3328,1793.1688,46.9954,3096.5572,102.8025,2758.7777,1032.4305,3980.6584,59.4786,29.3721,44.7925
TCGA-GM-A5PV,131.5894,181.9263,2305.0813,197.3841,236.5676,3708.6801,8372.5723,10139.9128,116.9243,21887.8319,19.025,319.461,96.7103,122.4732,1619.1042,3061.4348,146.2545,263.5553,11118.1134,2744.7483,489.4966,188.2679,5424.891,178.7554,186.2862,189.0606,103.0519,2609.5442,55.7709,2064.6056,144.2727,682.5208,1235.8304,68.5692,31.7083,9933.4126,119.6988,1432.8181,645.6599,8418.9457,2545.7788,58.6603,9416.1712,97.1066,1579.8652,942.9251,31957.9865,49.1478,17.0432,70.5509
TCGA-GM-A5PX,132.8644,71.9031,1450.0742,67.6045,9.3787,1080.891,534.5838,524.4236,26.5729,4319.6561,23.0559,171.1606,29.3083,155.9203,13222.7433,630.3243,338.8042,147.0731,9157.4834,1572.0985,266.5104,32.8253,2401.7194,61.7429,29.6991,211.8015,41.0317,1755.9945,15.7522,1757.3271,40.2501,97.6944,483.7827,37.1239,12.5049,7379.0543,262.9934,1550.2149,577.5694,366.9402,1473.6225,14.4588,11917.1551,23.8374,1005.8617,593.5912,5116.4517,19.1481,13.6772,29.6991
TCGA-HN-A2NL,828.4084,1505.5778,4.4282,5513.0716,102.7063,56.885,577.3652,48.0286,3088.1376,70.1695,619.9438,5743.6771,1191.5184,49.0505,380.482,32929.9157,23.5034,7120.5859,643.4472,938.4314,2291.067,2704.2493,12.6033,3341.9058,3038.7465,1306.6508,1255.5565,1139.2319,2144.3481,649.9191,768.1172,1163.5868,57.9068,303.8372,669.3349,185.6425,5955.8886,158.0516,144.4265,1118.6239,1619.3477,565.4432,45.6442,2556.076,5960.3168,9219.7905,850.8899,1013.029,300.0937,1596.185
TCGA-HN-A2OB,58.0036,39.1187,2858.5701,241.9065,220.5216,3472.5719,3698.741,7593.5252,58.4532,4193.795,13.4892,315.1978,53.5072,348.4712,7618.2554,8718.9748,63.8489,174.6718,14435.7014,1814.2986,213.5791,90.3777,1267.9856,85.4317,59.8022,185.7014,71.9424,1567.2932,49.7617,1181.6547,51.7086,2366.4568,1317.8957,733.3588,20.6835,6341.277,175.8094,798.5612,802.1583,5979.7662,1404.2266,31.9245,8817.8957,82.7338,2836.3309,547.6619,26382.6439,16.1871,13.9388,30.5755
TCGA-JL-A3YW,308.7176,577.0893,32.781,956.0519,1.1383,275.2161,2904.1787,103.7464,666.4265,95.1009,311.5994,978.7464,269.8127,30.6196,62445.9654,256.8444,387.2478,555.5944,7434.7983,207.4928,704.9712,1094.3804,87.8963,1717.9395,1015.1297,86.4553,885.0865,1170.2197,214.4344,1825.2882,807.2767,7325.6484,1013.3285,1034.1895,266.2104,1488.4726,139.7695,375.3602,869.5965,11721.1816,1175.4323,259.7262,3640.4899,2105.1873,2046.83,2616.3545,1201.0086,163.5447,247.8386,335.3746
TCGA-JL-A3YX,660.576,643.8526,8059.5633,1575.4103,29.3001,6909.8792,3555.2803,3510.6844,527.4079,4815.113,86.7142,1948.2812,361.7219,1010.2199,5872.0966,602.6634,147.1044,909.7987,7486.2186,1192.939,1609.7863,991.3286,7011.7683,1132.5488,641.0653,342.5209,654.3822,2591.0282,480.7526,980.4893,669.2474,496.1288,1959.7399,75.2555,227.315,6172.4992,87.6432,711.6754,661.1954,2304.1189,1851.6569,374.1096,6141.5299,953.2363,5309.3837,378.755,10365.1285,460.8238,148.6528,362.651
TCGA-LD-A66U,249.4382,402.6217,3000.7715,258.8015,150.1386,3915.3558,6948.6891,8163.2959,206.7416,3168.5393,28.0899,541.9476,79.7753,71.9101,13945.3184,1496.2547,150.9363,295.4045,9873.0337,1396.2547,752.809,332.5843,4147.5655,276.779,265.1685,215.3558,100.7491,2667.1648,170.5843,3111.6105,126.5918,956.1798,1745.3184,44.9438,80.8989,5741.1985,102.9963,721.7228,1010.1124,2740.824,1368.5393,75.6554,15393.633,453.1835,2987.6404,732.5843,26520.2247,88.764,32.2097,100
TCGA-LD-A74U,185.904,267.62,513.3361,1016.9561,321.3156,2747.7017,2871.9101,7076.2002,326.047,10325.6384,51.8897,1121.5526,186.7211,701.5322,2731.3585,10642.6966,113.1767,280.6987,5319.714,945.4545,702.3493,474.7702,2255.3626,973.6466,294.5863,281.5117,392.6456,1532.9969,136.715,1423.9019,120.9397,1725.0255,1332.38,296.6292,139.3258,5859.857,307.6609,1229.4178,535.6486,4117.2625,1662.9213,179.7753,11459.857,428.6006,1117.4668,1226.5577,3825.9448,131.9714,58.8355,86.2104
