,UBE2T,PTTG1,PGR,MKI67,MIA,MAPT,KRT17,KRT14,KIF2C,ESR1,CCNE1,CENPF,CEP55,FGFR4,MMP11,SFRP1,TMEM45B,TYMS,ERBB2,BCL2,CCNB1,CDC20,NAT1,RRM2,UBE2C,ACTR3B,ANLN,BAG1,BIRC5,BLVRA,CDC6,CDH3,CXXC5,EGFR,EXO1,FOXA1,FOXC1,GPR160,GRB7,KRT5,MDM2,MELK,MLPH,MYBL2,MYC,PHGDH,SLC39A6,NUF2,ORC6,NDC80
TCGA-AO-A03N,0.017642347,-0.029907912,0.038454734,-0.006150311,0.044637397,0.02517326,0.0029732287,0.037458185,0.021559592,0.040265195,-0.0008572526,0.084870875,0.04953651,0.004577173,0.031337578,0.06783143,-0.015496353,-0.019261504,-0.02176203,0.0366064,0.042389207,-0.0042050555,0.015427751,0.023474514,0.013416959,0.061305303,0.015216732,-0.025164204,-0.023771897,0.029698364,-0.00032436522,-0.00023061968,0.0075084027,0.041933566,0.061458632,0.00096727535,-0.020631272,0.028393988,0.04162383,0.0135715045,0.024014166,0.02391459,0.007915889,0.018398982,0.06822051,0.05845166,0.017721405,0.029534262,-0.012339441,0.032675833
TCGA-AR-A0TY,0.017605992,-0.028858053,0.03861295,-0.00990371,0.041207407,0.024970993,-0.0024460927,0.037626155,0.020764656,0.036986824,-0.0038857125,0.08297889,0.04608532,0.0029744077,0.028313871,0.066669464,-0.012716731,-0.01974773,-0.020444525,0.034843154,0.041296147,-0.0023422753,0.013809173,0.022314008,0.0073837414,0.058972113,0.011620538,-0.023283908,-0.024924923,0.026710045,0.0004196125,-0.00066439435,0.007739365,0.039477743,0.05953362,-0.003533762,-0.023142312,0.027259767,0.04117184,0.01314095,0.023546947,0.0215846,0.0077796755,0.017522756,0.06805735,0.05714667,0.014599344,0.02845753,-0.014441896,0.03185405
TCGA-AR-A2LK,0.01748463,-0.028725747,0.0391629,-0.008340599,0.04236103,0.025782274,-0.0011442732,0.03617054,0.022390809,0.0365957,-0.0024768189,0.08316037,0.04628755,0.0039220955,0.028427523,0.066803716,-0.013232386,-0.019728445,-0.02090559,0.03459116,0.04191829,-0.0037128096,0.01505595,0.022990454,0.007898655,0.05911071,0.011510817,-0.023970973,-0.024494998,0.027022596,-0.00022946578,0.00022980571,0.007952649,0.03975994,0.060920976,-0.0015328061,-0.02171607,0.027862027,0.04292589,0.014003195,0.023405692,0.023000702,0.008153439,0.016911093,0.06869571,0.057280116,0.015119916,0.029127913,-0.015932092,0.032030877
TCGA-B6-A0IN,0.016634457,-0.025173293,0.037853736,-0.011444341,0.039503913,0.027333567,-0.0057395305,0.037364695,0.01675275,0.039656688,-0.0056187958,0.08000606,0.046767887,0.0026900936,0.027675167,0.065782264,-0.012677657,-0.019252725,-0.01918061,0.03538112,0.039942656,-2.116803e-05,0.012538097,0.022120932,0.0035226513,0.058312453,0.010017438,-0.023252375,-0.025828827,0.024165027,0.0015666215,-0.00060078315,0.0075733755,0.03823249,0.058090605,-0.005286228,-0.023401465,0.026173737,0.04127677,0.0129537545,0.021750078,0.022080414,0.009363479,0.01450097,0.067073286,0.059110105,0.010271238,0.02820901,-0.016793652,0.03135065
TCGA-B6-A0WW,0.018474557,-0.027566534,0.03926341,-0.009699963,0.041925304,0.02734066,-0.003970232,0.036987733,0.02041037,0.040819943,-0.0025199205,0.082286835,0.048952974,0.0039060768,0.030411236,0.067795336,-0.013039835,-0.01937823,-0.02009848,0.03646621,0.041960575,-0.0015560966,0.016218718,0.023989161,0.007493561,0.059503842,0.012157157,-0.023609621,-0.02575944,0.026432518,0.000591754,-0.0005275272,0.008554406,0.039659794,0.060162358,-0.0010779127,-0.023559218,0.029131554,0.041675113,0.015912455,0.022912242,0.02270247,0.00947531,0.015822114,0.069085374,0.0582589,0.012895407,0.028894885,-0.015840977,0.032008365
